season,date,level,competition,city,country,continent,altitude,segment,jump,rotation,fall,bonus,combination,jump_number,jump_bv,goe,point_value
2019-2020,,Senior,EU,Graz,Austria,Europe,,SP,,,,,,,,,0.00
2019-2020,,Senior,EU,Graz,Austria,Europe,,SP,,,,,,,,,0.00
2019-2020,,Senior,EU,Graz,Austria,Europe,,SP,,,,,,,,,0.00
2019-2020,,Senior,EU,Graz,Austria,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,EU,Graz,Austria,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,EU,Graz,Austria,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,EU,Graz,Austria,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,EU,Graz,Austria,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,EU,Graz,Austria,Europe,,FP,,,,,,,,,0.00
2019-2020,,Senior,EU,Graz,Austria,Europe,,FP,,,,,,,,,0.00
2020-2021,,Senior,GP,Moscow,Russia,Europe,,SP,,,,,,,,,0.00
2020-2021,,Senior,GP,Moscow,Russia,Europe,,SP,,,,,,,,,0.00
2020-2021,,Senior,GP,Moscow,Russia,Europe,,SP,,,,,,,,,0.00
2020-2021,,Senior,GP,Moscow,Russia,Europe,,FP,,,,,,,,,0.00
2020-2021,,Senior,GP,Moscow,Russia,Europe,,FP,,,,,,,,,0.00
2020-2021,,Senior,GP,Moscow,Russia,Europe,,FP,,,,,,,,,0.00
2020-2021,,Senior,GP,Moscow,Russia,Europe,,FP,,,,,,,,,0.00
2020-2021,,Senior,GP,Moscow,Russia,Europe,,FP,,,,,,,,,0.00
2020-2021,,Senior,GP,Moscow,Russia,Europe,,FP,,,,,,,,,0.00
2020-2021,,Senior,GP,Moscow,Russia,Europe,,FP,,,,,,,,,0.00
2020-2021,,Senior,WC,Stockholm,Sweden,Europe,,SP,,,,,,,,,0.00
2020-2021,,Senior,WC,Stockholm,Sweden,Europe,,SP,,,,,,,,,0.00
2020-2021,,Senior,WC,Stockholm,Sweden,Europe,,SP,,,,,,,,,0.00
2020-2021,,Senior,WC,Stockholm,Sweden,Europe,,FP,,,,,,,,,0.00
2020-2021,,Senior,WC,Stockholm,Sweden,Europe,,FP,,,,,,,,,0.00
2020-2021,,Senior,WC,Stockholm,Sweden,Europe,,FP,,,,,,,,,0.00
2020-2021,,Senior,WC,Stockholm,Sweden,Europe,,FP,,,,,,,,,0.00
2020-2021,,Senior,WC,Stockholm,Sweden,Europe,,FP,,,,,,,,,0.00
2020-2021,,Senior,WC,Stockholm,Sweden,Europe,,FP,,,,,,,,,0.00
2020-2021,,Senior,WC,Stockholm,Sweden,Europe,,FP,,,,,,,,,0.00
2021-2022,,Senior,CS,Boston,United States,North America,,SP,,,,,,,,,0.00
