season,date,level,competition,city,country,continent,altitude_in_m,distance_moscow_km,segment,number,jump,edge,rotation,fall,bonus,combination,jump_number,jump_bv,goe_raw,goe_scaled,point_value
2017-2018,2017-12-09,Junior,JGPF,Nagoya,Japan,Asia,8,7371,FP,3,3F+2T+2T,,,,1,1,3,8.69,1.67,0.70,9.39
2017-2018,2017-12-09,Junior,JGPF,Nagoya,Japan,Asia,8,7371,FP,4,3Lz+3T,,,,1,1,2,11.33,3.10,1.30,12.63
2017-2018,2017-12-09,Junior,JGPF,Nagoya,Japan,Asia,8,7371,FP,5,3F,,,,1,,1,5.83,3.33,1.40,7.23
2017-2018,2017-12-09,Junior,JGPF,Nagoya,Japan,Asia,8,7371,FP,6,3S,,,,1,,1,4.84,3.10,1.30,6.14
2017-2018,2017-12-09,Junior,JGPF,Nagoya,Japan,Asia,8,7371,FP,7,2A,,,,1,,1,3.63,3.10,0.93,4.56
2017-2018,2018-02-02,Junior,NC,Saransk,Russia,Europe,160,512,SP,1,3F+3Lo,,,,1,1,2,11.44,4.05,1.70,13.14
2017-2018,2018-01-24,Junior,NC,Saransk,Russia,Europe,160,512,SP,2,3Lz,,,,1,,1,6.60,2.62,1.10,7.70
2017-2018,2018-01-24,Junior,NC,Saransk,Russia,Europe,160,512,SP,3,2A,,,,1,,1,3.63,3.33,1.00,4.63
2017-2018,2018-01-24,Junior,NC,Saransk,Russia,Europe,160,512,FP,1,4S,,u,1,,,1,8.10,-5.00,-4.00,4.10
2017-2018,2018-01-25,Junior,NC,Saransk,Russia,Europe,160,512,FP,2,3Lz,,,,1,,1,6.60,3.33,1.40,8.00
2017-2018,2018-01-25,Junior,NC,Saransk,Russia,Europe,160,512,FP,3,3F+3T+2T,,,,1,1,3,11.99,1.67,0.70,12.69
2017-2018,2018-01-25,Junior,NC,Saransk,Russia,Europe,160,512,FP,4,3Lz+3Lo,,,,1,1,2,12.21,2.38,1.00,13.21
2017-2018,2018-01-25,Junior,NC,Saransk,Russia,Europe,160,512,FP,5,3F+2T,,,,1,1,2,7.26,2.62,1.10,8.36
2017-2018,2018-01-25,Junior,NC,Saransk,Russia,Europe,160,512,FP,6,3S,,,,1,,1,4.84,1.90,0.80,5.64
2017-2018,2018-01-25,Junior,NC,Saransk,Russia,Europe,160,512,FP,7,2A,,,,1,,1,3.63,3.10,0.93,4.56
2017-2018,2018-03-09,Junior,JWC,Sofia,Bulgaria,Europe,550,1775,SP,1,3F+3Lo,,,,1,1,2,11.44,2.62,1.70,13.14
2017-2018,2018-03-09,Junior,JWC,Sofia,Bulgaria,Europe,550,1775,SP,2,3Lz,,,,1,,1,6.60,4.52,1.90,8.50
2017-2018,2018-03-09,Junior,JWC,Sofia,Bulgaria,Europe,550,1775,SP,3,2A,,,,1,,1,3.63,3.57,1.07,4.70
2017-2018,2018-03-10,Junior,JWC,Sofia,Bulgaria,Europe,550,1775,FP,1,4S,,,,,,1,10.50,3.33,2.00,12.50
2017-2018,2018-03-10,Junior,JWC,Sofia,Bulgaria,Europe,550,1775,FP,2,4T,,,,,,1,10.30,0.95,0.57,10.87
2017-2018,2018-03-10,Junior,JWC,Sofia,Bulgaria,Europe,550,1775,FP,3,3Lz,,,,1,,1,6.60,4.05,1.70,8.30
2017-2018,2018-03-10,Junior,JWC,Sofia,Bulgaria,Europe,550,1775,FP,4,3F+1Eu+3S,,,,1,1,3,11.22,2.38,1.00,12.22
2017-2018,2018-03-10,Junior,JWC,Sofia,Bulgaria,Europe,550,1775,FP,5,3Lz+3Lo,,,,1,1,2,12.21,3.57,1.50,13.71
2017-2018,2018-03-10,Junior,JWC,Sofia,Bulgaria,Europe,550,1775,FP,6,3F+3T,,,,1,1,2,10.56,3.10,1.30,11.86
2017-2018,2018-03-10,Junior,JWC,Sofia,Bulgaria,Europe,550,1775,FP,7,2A,,,,1,,1,3.63,3.10,0.93,4.56
2018-2019,2018-09-06,Junior,JGP,Kaunas,Lithuania,Europe,34,870,SP,1,2A,,,,,,1,3.30,4.00,1.32,4.62
2018-2019,2018-09-06,Junior,JGP,Kaunas,Lithuania,Europe,34,870,SP,2,3F,,,,,,1,5.30,4.14,2.20,7.50
2018-2019,2018-09-06,Junior,JGP,Kaunas,Lithuania,Europe,34,870,SP,3,3Lz+3Lo,,,,1,1,2,11.88,4.43,2.61,14.49
2018-2019,2018-09-07,Junior,JGP,Kaunas,Lithuania,Europe,34,870,FP,1,4Lz,,u,,,,1,8.63,-0.57,-0.61,8.02
2018-2019,2018-09-07,Junior,JGP,Kaunas,Lithuania,Europe,34,870,FP,2,4T,,,1,,,1,9.50,-5.00,-4.75,4.75
2018-2019,2018-09-07,Junior,JGP,Kaunas,Lithuania,Europe,34,870,FP,3,4T+3T,,,,,1,2,13.70,2.57,2.44,16.14
2018-2019,2018-09-07,Junior,JGP,Kaunas,Lithuania,Europe,34,870,FP,4,2A,,,,,,1,3.30,3.00,0.99,4.29
2018-2019,2018-09-07,Junior,JGP,Kaunas,Lithuania,Europe,34,870,FP,5,3Lz+3Lo,,,,1,1,2,11.88,3.43,2.02,13.90
2018-2019,2018-09-07,Junior,JGP,Kaunas,Lithuania,Europe,34,870,FP,6,3Lz+1Eu+3S,,,,1,1,3,11.77,3.43,2.02,13.79
2018-2019,2018-09-07,Junior,JGP,Kaunas,Lithuania,Europe,34,870,FP,7,3F,,,,1,,1,5.83,3.29,1.74,7.57
2018-2019,2018-10-11,Junior,JGP,Yerevan,Armenia,Europe,913,1803,SP,1,2A,,,,,,1,3.30,4.00,1.32,4.62
2018-2019,2018-10-11,Junior,JGP,Yerevan,Armenia,Europe,913,1803,SP,2,3F,,,,,,1,5.30,4.00,2.12,7.42
2018-2019,2018-10-11,Junior,JGP,Yerevan,Armenia,Europe,913,1803,SP,3,3Lz+3Lo,,,,1,1,2,11.88,4.43,2.61,14.49
2018-2019,2018-10-12,Junior,JGP,Yerevan,Armenia,Europe,913,1803,FP,1,4Lz,,,,,,1,11.50,0.00,0.00,11.50
